id;age;competition;datetime;days_since_last_run;dt_actual_off;encuentro;equipo_local;equipo_visitante;es_fila;event;event_id;full_description;id_competition;id_local;id_partido;id_visitante;in_play;jockey_name;lastpricetraded;latest_taken;nombre;number_of_active_runners;number_of_winners;odds_back;odds_back_1;odds_back_2;odds_back_3;odds_lay;odds_lay_1;odds_lay_2;odds_lay_3;official_rating;partido;player;scheduled_off;selection;selection_id;sex_type;simbolo;size_back_1;size_back_2;size_back_3;size_lay_1;size_lay_2;size_lay_3;sortPriority;sports_id;sports_id_event;status;status_selection;trainer_name;type;ultima;unico;unico_evento;volume_matched;volume_matched_selection;weight_units;weight_unitsform;weight_value;win_flag;yyyymmdd;event_id_selection
3331534;;Elite Friendlies;1659899704.502097;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.07;1659899700.381;fila;2.0;1.0;1.06;1.06;1.05;1.04;1.07;1.07;1.08;1.09;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;405.0;839.38;674.33;363.66;1129.54;396.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;7654.32;7159.35;;;;0.0;20220807.0;1.201838321
3331535;;Elite Friendlies;1659899704.502097;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;13.0;1659899700.381;fila;2.0;1.0;15.0;15.0;14.5;14.0;16.5;16.5;17.0;17.5;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;22.93;54.99;39.05;8.0;8.0;7.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;7654.32;494.97;;;;0.0;20220807.0;1.201838321
3333797;;Elite Friendlies;1659899782.612329;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.07;1659899776.864;fila;2.0;1.0;1.06;1.06;1.05;1.04;1.08;1.08;1.09;1.1;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;405.0;839.38;674.33;188.38;6.88;387.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;7670.32;7159.35;;;;0.0;20220807.0;1.201838321
3333798;;Elite Friendlies;1659899782.614831;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;17.0;1659899776.864;fila;2.0;1.0;1.01;1.01;;;17.5;17.5;18.0;18.5;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;;;;7.0;7.0;6.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;7670.32;510.97;;;;0.0;20220807.0;1.201838321
3335933;;Elite Friendlies;1659899860.660065;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.06;1659899858.903;fila;2.0;1.0;1.05;1.05;1.04;1.03;1.08;1.08;1.09;1.11;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;423.0;882.31;534.43;179.27;6.88;10.12;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;7728.72;7217.75;;;;0.0;20220807.0;1.201838321
3335934;;Elite Friendlies;1659899860.660065;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;17.0;1659899858.903;fila;2.0;1.0;14.0;14.0;1.01;;19.5;19.5;20.0;21.0;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;;;;5.0;10.0;9.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;7728.72;510.97;;;;0.0;20220807.0;1.201838321
3337581;;Elite Friendlies;1659899921.882184;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.06;1659899920.78;fila;2.0;1.0;1.05;1.05;1.04;1.03;1.06;1.06;1.07;1.09;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;457.72;804.43;534.43;1132.54;24.86;6.88;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;7748.72;7217.75;;;;0.0;20220807.0;1.201838321
3337582;;Elite Friendlies;1659899921.884683;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;20.0;1659899920.78;fila;2.0;1.0;19.5;19.5;19.0;18.5;21.0;21.0;22.0;23.0;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;40.12;49.79;51.06;9.0;7.0;7.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;7748.72;530.97;;;;0.0;20220807.0;1.201838321
3337764;;Elite Friendlies;1659899927.447397;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.05;1659899926.83;fila;2.0;1.0;1.05;1.05;1.04;1.03;1.06;1.06;1.07;1.09;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;246.86;804.43;534.43;926.25;24.86;6.88;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8170.45;7639.47;;;;0.0;20220807.0;1.201838321
3337765;;Elite Friendlies;1659899927.447397;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;20.0;1659899926.83;fila;2.0;1.0;20.0;20.0;19.5;19.0;21.0;21.0;22.0;23.0;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;11.91;57.81;49.61;9.0;7.0;7.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8170.45;530.97;;;;0.0;20220807.0;1.201838321
