id;age;competition;datetime;days_since_last_run;dt_actual_off;encuentro;equipo_local;equipo_visitante;es_fila;event;event_id;full_description;id_competition;id_local;id_partido;id_visitante;in_play;jockey_name;lastpricetraded;latest_taken;nombre;number_of_active_runners;number_of_winners;odds_back;odds_back_1;odds_back_2;odds_back_3;odds_lay;odds_lay_1;odds_lay_2;odds_lay_3;official_rating;partido;player;scheduled_off;selection;selection_id;sex_type;simbolo;size_back_1;size_back_2;size_back_3;size_lay_1;size_lay_2;size_lay_3;sortPriority;sports_id;sports_id_event;status;status_selection;trainer_name;type;ultima;unico;unico_evento;volume_matched;volume_matched_selection;weight_units;weight_unitsform;weight_value;win_flag;yyyymmdd;event_id_selection
4047887;;Turkish Super League;1659985572.189132;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.36;1659985571.767;fila;2.0;1.0;1.36;1.36;1.18;1.01;1.52;1.52;1.57;1.63;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;205.59;555.55;30.0;8.1;21.07;2.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;36592.79;20400.78;;;;0.0;20220808.0;1.201648604
4047995;;Turkish Super League;1659985577.499321;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;2.96;1659985574.878;fila;2.0;1.0;2.96;2.96;2.94;2.86;3.75;3.75;3.95;40.0;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;617.1;342.57;118.02;9.25;10.0;1.69;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;36794.54;16330.89;;;;0.0;20220808.0;1.201648604
4047996;;Turkish Super League;1659985577.499321;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.38;1659985574.878;fila;2.0;1.0;1.36;1.36;1.19;1.18;1.47;1.47;1.52;1.63;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;147.73;12.63;555.55;23.6;8.1;2.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;36794.54;20463.64;;;;0.0;20220808.0;1.201648604
4049625;;Turkish Super League;1659985672.846338;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;4.4;1659985670.924;fila;2.0;1.0;4.1;4.1;3.9;3.6;4.4;4.4;4.7;4.8;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;140.81;140.81;140.81;66.35;104.51;8.75;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;37020.45;16470.49;;;;0.0;20220808.0;1.201648604
4049626;;Turkish Super League;1659985672.846338;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.29;1659985670.924;fila;2.0;1.0;1.27;1.27;1.26;1.23;1.34;1.34;1.63;1.75;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;423.33;384.61;200.0;21.07;2.0;10.81;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;37020.45;20549.95;;;;0.0;20220808.0;1.201648604
4049727;;Turkish Super League;1659985678.127887;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;4.4;1659985674.336;fila;2.0;1.0;4.3;4.3;4.1;3.9;4.4;4.4;4.7;40.0;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;10.15;140.81;140.81;63.36;104.51;1.69;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;37026.43;16476.48;;;;0.0;20220808.0;1.201648604
4049728;;Turkish Super League;1659985678.127887;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.29;1659985674.336;fila;2.0;1.0;1.23;1.23;1.2;1.01;1.34;1.34;1.63;1.75;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;200.13;267.63;30.0;21.07;2.0;10.81;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;37026.43;20549.95;;;;0.0;20220808.0;1.201648604
4049802;;Turkish Super League;1659985683.413055;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;4.2;1659985682.348;fila;2.0;1.0;4.1;4.1;4.0;3.95;4.4;4.4;4.5;4.7;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;114.88;32.39;32.39;57.87;1058.44;111.27;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;37129.13;16560.2;;;;0.0;20220808.0;1.201648604
4049803;;Turkish Super League;1659985683.413055;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.29;1659985682.348;fila;2.0;1.0;1.28;1.28;1.25;1.23;1.32;1.32;1.63;1.75;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;483.72;100.0;200.0;14.55;2.0;10.81;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;37129.13;20568.93;;;;0.0;20220808.0;1.201648604
4049901;;Turkish Super League;1659985688.72072;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;4.4;1659985686.558;fila;2.0;1.0;4.1;4.1;4.0;3.95;4.4;4.4;4.5;4.6;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;114.88;32.39;32.39;63.17;1058.44;1.99;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;37161.48;16565.62;;;;0.0;20220808.0;1.201648604
4049902;;Turkish Super League;1659985688.72322;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.29;1659985686.558;fila;2.0;1.0;1.28;1.28;1.25;1.23;1.3;1.3;1.51;1.63;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;483.72;100.0;200.0;1235.72;4.74;2.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;37161.48;20595.86;;;;0.0;20220808.0;1.201648604
